epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,180.303,1.65787,2.38289,1.5495,0.48957,0.44012,0.4347,0.20056,1.46116,11.2934,1.31709,0.000555151,0.000555151,0.000555151
2,331.882,1.70148,1.85605,1.56739,0.46086,0.4293,0.40503,0.18017,1.52903,6.27672,1.31875,0.00107416,0.00107416,0.00107416
3,480.345,1.68482,1.78288,1.54539,0.52336,0.46794,0.45692,0.22309,1.48614,6.4368,1.341,0.0015565,0.0015565,0.0015565
4,642.904,1.64118,1.6821,1.52249,0.55868,0.49776,0.51097,0.24247,1.44611,3.24833,1.26587,0.00150197,0.00150197,0.00150197
5,790.059,1.60813,1.60402,1.49579,0.56784,0.5116,0.5285,0.26817,1.37828,2.96001,1.2402,0.00144696,0.00144696,0.00144696
6,943.438,1.56763,1.5433,1.46136,0.58484,0.51772,0.55365,0.27871,1.37669,3.02325,1.24888,0.00139195,0.00139195,0.00139195
7,1134.72,1.5549,1.51259,1.45673,0.58963,0.56879,0.58813,0.30008,1.35356,3.79395,1.20824,0.00133693,0.00133693,0.00133693
8,1284.13,1.52135,1.47923,1.43273,0.61574,0.56284,0.60321,0.32086,1.31946,3.21721,1.20259,0.00128192,0.00128192,0.00128192
9,1431.02,1.49684,1.41092,1.41647,0.63502,0.58716,0.62502,0.32947,1.31133,3.37511,1.17879,0.00122691,0.00122691,0.00122691
10,1577.83,1.49047,1.39923,1.4164,0.67231,0.5951,0.65451,0.34643,1.31563,2.41622,1.17737,0.0011719,0.0011719,0.0011719
11,1731.94,1.48434,1.37047,1.40338,0.64993,0.60231,0.6487,0.3499,1.28898,2.66852,1.16942,0.00111689,0.00111689,0.00111689
12,1887.63,1.46424,1.33947,1.38809,0.65765,0.62639,0.6626,0.35803,1.2709,1.99401,1.16265,0.00106188,0.00106188,0.00106188
13,2045.22,1.45432,1.3208,1.38172,0.69091,0.62206,0.6866,0.37772,1.25284,1.9937,1.13604,0.00100687,0.00100687,0.00100687
14,2197.67,1.43829,1.29903,1.37505,0.69458,0.61901,0.68129,0.37426,1.25191,1.71362,1.13839,0.000951857,0.000951857,0.000951857
15,2343.94,1.42999,1.28018,1.37008,0.6872,0.62609,0.68959,0.37979,1.25245,1.60587,1.1349,0.000896846,0.000896846,0.000896846
16,2496.76,1.40818,1.24975,1.36206,0.68569,0.63376,0.69798,0.38877,1.22888,2.21649,1.11597,0.000841835,0.000841835,0.000841835
17,2652.99,1.4122,1.23306,1.35293,0.71436,0.64431,0.71129,0.39524,1.22645,1.59078,1.11706,0.000786824,0.000786824,0.000786824
18,2809.04,1.38812,1.20676,1.34442,0.70522,0.65268,0.71177,0.39851,1.21909,1.62576,1.10496,0.000731813,0.000731813,0.000731813
19,2963.47,1.38216,1.19386,1.33304,0.71432,0.65719,0.72444,0.407,1.21579,1.57434,1.10217,0.000676802,0.000676802,0.000676802
20,3119.24,1.36386,1.16971,1.32556,0.71764,0.66014,0.72771,0.40952,1.21727,1.46201,1.09924,0.000621791,0.000621791,0.000621791
21,3294.98,1.43817,1.16116,1.37998,0.72488,0.65725,0.72951,0.41172,1.20234,1.58703,1.09404,0.00056678,0.00056678,0.00056678
22,3448.13,1.40846,1.12583,1.35412,0.71844,0.66633,0.73197,0.41445,1.20177,1.42824,1.1001,0.000511769,0.000511769,0.000511769
23,3601.22,1.39457,1.09961,1.35083,0.73242,0.66655,0.73798,0.4174,1.20104,1.28457,1.09137,0.000456758,0.000456758,0.000456758
24,3772.87,1.38422,1.08331,1.34091,0.73445,0.66858,0.74016,0.42412,1.19063,1.33195,1.09056,0.000401747,0.000401747,0.000401747
25,3918.61,1.36551,1.06802,1.32893,0.73209,0.67687,0.74367,0.4254,1.19602,1.31426,1.092,0.000346736,0.000346736,0.000346736
26,4065.79,1.35418,1.02996,1.32182,0.74212,0.67447,0.74792,0.42896,1.18907,1.21667,1.08769,0.000291725,0.000291725,0.000291725
27,4218.73,1.3348,1.00776,1.30655,0.73809,0.67878,0.74903,0.43123,1.18848,1.18528,1.0852,0.000236714,0.000236714,0.000236714
28,4371.45,1.31891,0.99088,1.29905,0.74496,0.67766,0.7524,0.43484,1.18382,1.16868,1.08459,0.000181703,0.000181703,0.000181703
29,4524.42,1.30567,0.95642,1.28793,0.74404,0.68322,0.75438,0.4347,1.18659,1.09084,1.08568,0.000126692,0.000126692,0.000126692
30,4677.2,1.29603,0.94183,1.27721,0.75529,0.67414,0.75569,0.43692,1.18516,1.07094,1.08314,7.1681e-05,7.1681e-05,7.1681e-05
